timestamp_us,adc_value
0,4095
250,4075
500,3911
750,3751
1000,3625
1250,3496
1500,3378
1750,3262
2000,3163
2250,3062
2500,2973
2750,2895
3000,2809
3250,2734
3500,2664
3750,2599
4000,2526
4250,2456
4500,2383
4750,2319
5000,2255
5250,2195
5500,2131
5750,2067
6000,2005
6250,1945
6500,1883
6750,1827
7000,1763
7250,1707
7500,1644
7750,1576
8000,1509
8250,1420
8500,1368
8750,1308
9000,1247
9250,1189
9500,1139
9750,1084
10000,1049
10250,1010
10500,980
10750,955
11000,931
11250,927
11500,917
11750,906
12000,895
12250,918
12500,916
12750,909
13000,905
13250,924
13500,922
13750,921
14000,919
14250,937
14500,934
14750,931
15000,921
15250,935
15500,932
15750,927
16000,931
16250,946
16500,937
16750,939
17000,941
17250,947
17500,939
17750,935
18000,925
18250,936
18500,928
18750,915
19000,907
19250,917
19500,905
19750,895
20000,891
20250,904
20500,905
20750,887
21000,875
21250,896
21500,890
21750,878
22000,869
22250,889
22500,879
22750,871
23000,863
23250,887
23500,875
23750,866
24000,860
24250,876
24500,855
24750,841
25000,825
25250,873
25500,859
25750,852
26000,842
26250,878
26500,867
26750,863
27000,861
27250,889
27500,884
27750,875
28000,874
28250,900
28500,891
28750,884
29000,886
29250,915
29500,909
29750,906
30000,904
30250,924
30500,922
30750,917
31000,919
31250,926
31500,924
31750,919
32000,915
32250,932
32500,926
32750,924
33000,923
33250,936
33500,939
33750,939
34000,925
34250,938
34500,927
34750,925
35000,916
35250,923
35500,915
35750,903
36000,892
36250,908
36500,903
36750,891
37000,883
37250,905
37500,886
37750,879
38000,873
38250,894
38500,884
38750,875
39000,859
39250,888
39500,875
39750,869
40000,859
40250,884
40500,873
40750,864
41000,847
41250,873
41500,837
41750,842
42000,840
42250,868
42500,858
42750,847
43000,843
43250,877
43500,873
43750,873
44000,860
44250,893
44500,887
44750,879
45000,876
45250,893
45500,893
45750,895
46000,893
46250,915
46500,909
46750,907
47000,907
47250,927
47500,921
47750,921
48000,917
48250,927
48500,923
48750,916
49000,917
49250,932
49500,926
49750,927
50000,923
50250,942
50500,934
50750,926
51000,925
51250,933
51500,926
51750,915
52000,907
52250,916
52500,905
52750,893
53000,891
53250,905
53500,892
53750,885
54000,873
54250,892
54500,885
54750,877
55000,871
55250,888
55500,877
55750,869
56000,861
56250,885
56500,873
56750,867
57000,855
57250,879
57500,869
57750,854
58000,839
58250,853
58500,857
58750,847
59000,841
59250,869
59500,861
59750,860
60000,855
60250,887
60500,876
60750,874
61000,868
61250,892
61500,885
61750,882
62000,877
62250,907
62500,907
62750,905
63000,902
63250,918
63500,917
63750,915
64000,915
64250,933
64500,927
64750,923
65000,918
65250,932
65500,931
65750,922
66000,925
66250,938
66500,933
66750,937
67000,938
67250,940
67500,937
67750,933
68000,907
68250,934
68500,921
68750,911
69000,901
69250,915
69500,903
69750,891
70000,885
70250,907
70500,893
70750,884
71000,873
71250,900
71500,887
71750,877
72000,867
72250,893
72500,883
72750,873
73000,867
73250,888
73500,876
73750,867
74000,861
74250,882
74500,863
74750,844
75000,826
75250,876
75500,859
75750,853
76000,842
76250,877
76500,872
76750,867
77000,869
77250,893
77500,887
77750,894
78000,877
78250,906
78500,895
78750,889
79000,886
79250,916
79500,914
79750,909
80000,905
80250,925
80500,926
80750,923
81000,921
81250,935
81500,926
81750,923
82000,921
82250,933
82500,935
82750,927
83000,927
83250,936
83500,941
83750,942
84000,931
84250,941
84500,938
84750,933
85000,918
85250,926
85500,919
85750,908
86000,895
86250,908
86500,903
86750,893
87000,888
87250,905
87500,891
87750,879
88000,874
88250,895
88500,887
88750,875
89000,868
89250,889
89500,882
89750,869
90000,863
90250,887
90500,877
90750,869
91000,851
91250,877
91500,841
91750,845
92000,845
92250,874
92500,861
92750,856
93000,855
93250,879
93500,877
93750,876
94000,871
94250,901
94500,891
94750,887
95000,882
95250,905
95500,902
95750,901
96000,903
96250,923
96500,917
96750,911
97000,915
97250,932
97500,925
97750,923
98000,921
98250,933
98500,925
98750,920
99000,919
99250,931
99500,935
99750,937
100000,927
100250,949
100500,941
100750,935
101000,931
101250,941
101500,927
101750,919
102000,904
102250,921
102500,914
102750,902
103000,890
103250,907
103500,903
103750,891
104000,879
104250,901
104500,889
104750,879
105000,873
105250,892
105500,883
105750,874
106000,864
106250,890
106500,886
106750,875
107000,861
107250,885
107500,875
107750,858
108000,847
108250,860
108500,861
108750,854
109000,843
109250,873
109500,869
109750,861
110000,853
110250,887
110500,887
110750,877
111000,873
111250,901
111500,893
111750,888
112000,884
112250,910
112500,909
112750,907
113000,904
113250,921
113500,919
113750,920
114000,920
114250,935
114500,931
114750,922
115000,919
115250,932
115500,928
115750,927
116000,924
116250,939
116500,932
116750,933
117000,939
117250,942
117500,937
117750,934
118000,925
118250,933
118500,923
118750,910
119000,903
119250,917
119500,906
119750,892
120000,888
120250,907
120500,903
120750,884
121000,875
121250,901
121500,890
121750,883
122000,871
122250,892
122500,885
122750,873
123000,863
123250,888
123500,877
123750,869
124000,861
124250,882
124500,862
124750,841
125000,827
125250,873
125500,863
125750,853
126000,845
126250,876
126500,869
126750,867
127000,867
127250,893
127500,889
127750,885
128000,875
128250,905
128500,893
128750,889
129000,889
129250,919
129500,911
129750,910
130000,905
130250,925
130500,925
130750,921
131000,918
131250,934
131500,926
131750,923
132000,919
132250,935
132500,931
132750,932
133000,926
133250,938
133500,947
133750,943
134000,933
134250,943
134500,937
134750,927
135000,921
135250,931
135500,920
135750,905
136000,903
136250,915
136500,905
136750,893
137000,883
137250,902
137500,889
137750,879
138000,875
138250,895
138500,885
138750,877
139000,868
139250,891
139500,878
139750,871
140000,867
140250,889
140500,877
140750,869
141000,851
141250,874
141500,841
141750,850
142000,843
142250,875
142500,861
142750,857
143000,855
143250,885
143500,877
143750,879
144000,873
144250,895
144500,894
144750,885
145000,879
145250,905
145500,887
145750,905
146000,905
146250,921
146500,916
146750,915
147000,916
147250,933
147500,926
147750,925
148000,921
148250,935
148500,925
148750,921
149000,921
149250,938
149500,935
149750,935
150000,931
150250,951
150500,941
150750,936
151000,935
151250,939
151500,933
151750,923
152000,911
152250,923
152500,915
152750,903
153000,892
153250,911
153500,903
153750,894
154000,885
154250,901
154500,889
154750,882
155000,876
155250,896
155500,885
155750,875
156000,869
156250,888
156500,879
156750,874
157000,861
157250,888
157500,871
157750,858
158000,845
158250,859
158500,862
158750,851
159000,845
159250,875
159500,871
159750,868
160000,857
160250,889
160500,889
160750,880
161000,877
161250,903
161500,893
161750,888
162000,886
162250,907
162500,909
162750,908
163000,903
163250,923
163500,920
163750,921
164000,921
164250,935
164500,932
164750,931
165000,921
165250,934
165500,926
165750,925
166000,925
166250,943
166500,934
166750,937
167000,941
167250,942
167500,937
167750,934
168000,924
168250,935
168500,925
168750,915
169000,904
169250,916
169500,907
169750,901
170000,887
170250,909
170500,901
170750,887
171000,876
171250,904
171500,891
171750,883
172000,871
172250,891
172500,883
172750,872
173000,863
173250,887
173500,877
173750,869
174000,863
174250,877
174500,863
174750,843
175000,827
175250,874
175500,861
175750,853
176000,845
176250,878
176500,871
176750,864
177000,865
177250,892
177500,888
177750,884
178000,878
178250,904
178500,895
178750,887
179000,889
179250,919
179500,914
179750,909
180000,908
180250,931
180500,927
180750,924
181000,921
181250,937
181500,931
181750,921
182000,920
182250,933
182500,934
182750,932
183000,928
183250,939
183500,943
183750,941
184000,932
184250,943
184500,935
184750,925
185000,921
185250,925
185500,918
185750,909
186000,894
186250,915
186500,904
186750,895
187000,894
187250,910
187500,890
187750,883
188000,877
188250,895
188500,889
188750,878
189000,869
189250,891
189500,879
189750,872
190000,867
190250,887
190500,877
190750,868
191000,851
191250,875
191500,841
191750,845
192000,845
192250,872
192500,861
192750,856
193000,852
193250,884
193500,879
193750,891
194000,873
194250,901
194500,891
194750,883
195000,878
195250,918
195500,895
195750,903
196000,902
196250,921
196500,919
196750,914
197000,918
197250,932
197500,927
197750,925
198000,922
198250,935
198500,931
198750,925
199000,921
199250,935
199500,936
199750,933
200000,931
200250,949
200500,941
200750,935
201000,934
201250,939
201500,931
201750,921
202000,911
202250,922
202500,911
202750,905
203000,893
203250,915
203500,902
203750,891
204000,885
204250,901
204500,888
204750,883
205000,875
205250,893
205500,883
205750,876
206000,867
206250,889
206500,879
206750,873
207000,859
207250,891
207500,875
207750,859
208000,845
208250,859
208500,863
208750,854
209000,843
209250,874
209500,866
209750,861
210000,857
210250,891
210500,887
210750,883
211000,879
211250,869
211500,891
211750,885
212000,885
212250,908
212500,909
212750,909
213000,903
213250,920
213500,922
213750,922
214000,922
214250,934
214500,931
214750,924
215000,921
215250,935
215500,928
215750,928
216000,924
216250,923
216500,933
216750,937
217000,941
217250,946
217500,939
217750,935
218000,923
218250,935
218500,925
218750,915
219000,905
219250,919
219500,908
219750,895
220000,889
220250,909
220500,901
220750,886
221000,873
221250,901
221500,889
221750,879
222000,870
222250,891
222500,879
222750,875
223000,867
223250,888
223500,877
223750,871
224000,860
224250,882
224500,867
224750,843
225000,829
225250,877
225500,857
225750,853
226000,844
226250,883
226500,874
226750,869
227000,869
227250,891
227500,889
227750,885
228000,885
228250,905
228500,889
228750,889
229000,889
229250,918
229500,915
229750,908
230000,907
230250,926
230500,927
230750,924
231000,919
231250,934
231500,930
231750,923
232000,919
232250,935
232500,935
232750,927
233000,932
233250,937
233500,940
233750,939
234000,928
234250,941
234500,935
234750,924
235000,922
235250,927
235500,916
235750,907
236000,895
236250,917
236500,904
236750,895
237000,889
237250,909
237500,893
237750,884
238000,878
238250,895
238500,889
238750,879
239000,869
239250,889
239500,879
239750,871
240000,861
240250,887
240500,879
240750,868
241000,851
241250,873
241500,843
241750,851
242000,845
242250,873
242500,866
242750,869
243000,862
243250,885
243500,879
243750,876
244000,871
244250,901
244500,890
244750,887
245000,883
245250,905
245500,895
245750,903
246000,903
246250,921
246500,918
246750,916
247000,916
247250,935
247500,928
247750,926
248000,922
248250,936
248500,931
248750,923
249000,923
249250,940
249500,936
249750,935
250000,933
250250,951
250500,943
250750,935
251000,935
251250,939
251500,932
251750,921
252000,911
252250,919
252500,911
252750,903
253000,895
253250,911
253500,903
253750,892
254000,883
254250,895
254500,889
254750,883
255000,876
255250,895
255500,885
255750,877
256000,867
256250,887
256500,879
256750,871
257000,857
257250,888
257500,870
257750,855
258000,840
258250,861
258500,858
258750,850
259000,842
259250,875
259500,863
259750,859
260000,855
260250,887
260500,879
260750,873
261000,873
261250,901
261500,889
261750,886
262000,878
262250,903
262500,906
262750,905
263000,901
263250,921
263500,919
263750,922
264000,917
264250,931
264500,926
264750,924
265000,918
265250,931
265500,923
265750,923
266000,920
266250,937
266500,927
266750,935
267000,936
267250,941
267500,938
267750,931
268000,924
268250,2936
268500,4095
268750,4032
269000,3835
269250,3637
269500,3477
269750,3325
270000,3215
270250,3431
270500,3303
270750,3179
271000,3063
271250,2969
271500,2878
271750,2793
272000,2850
272250,4095
272500,4095
272750,3961
273000,4095
273250,3959
273500,3757
273750,3571
274000,3417
274250,3261
274500,3124
274750,2988
275000,2863
275250,2771
275500,4095
275750,4095
276000,3984
276250,4018
276500,4012
276750,3808
277000,3635
277250,3477
277500,3359
277750,3223
278000,3278
278250,4095
278500,4095
278750,4032
279000,4095
279250,4079
279500,3900
279750,3741
280000,3599
280250,3483
280500,3373
280750,4095
281000,4095
281250,4095
281500,3941
281750,3783
282000,3628
282250,3572
282500,3849
282750,3705
283000,3577
283250,3462
283500,3368
283750,3274
284000,3172
284250,3095
284500,3177
284750,4095
285000,4095
285250,4053
285500,4093
285750,4093
286000,3901
286250,3731
286500,3566
286750,3429
287000,3299
287250,3187
287500,3067
287750,2971
288000,4095
288250,4095
288500,4031
288750,4082
289000,4076
289250,3863
289500,3664
289750,3496
290000,3347
290250,3211
290500,3091
290750,4095
291000,4095
291250,4054
291500,3986
291750,3999
292000,3785
292250,3578
292500,3400
292750,3246
293000,3126
293250,3004
293500,2910
293750,2826
294000,2740
294250,2664
294500,2589
294750,4095
295000,4095
295250,4060
295500,3917
295750,3966
296000,4005
296250,3832
296500,3675
296750,3540
297000,3426
297250,3319
297500,3225
297750,3131
298000,3047
298250,2972
298500,2897
298750,2827
299000,2907
299250,4095
299500,4095
299750,4055
300000,4095
300250,4095
300500,3919
300750,3771
301000,3637
301250,3507
301500,3383
301750,4095
302000,4095
302250,4079
302500,3923
302750,4095
303000,3963
303250,3785
303500,3619
303750,3469
304000,3327
304250,3215
304500,4095
304750,4095
305000,4095
305250,3911
305500,4095
305750,3912
306000,3710
306250,3539
306500,3381
306750,3245
307000,3123
307250,3007
307500,4095
307750,4095
308000,4087
308250,3829
308500,4071
308750,3834
309000,3622
309250,3447
309500,3303
309750,3167
310000,3049
310250,4095
310500,4095
310750,4028
311000,4083
311250,4086
311500,3881
311750,3699
312000,3545
312250,3412
312500,3303
312750,4095
313000,4095
313250,4095
313500,4095
313750,4095
314000,4019
314250,3850
314500,3701
314750,3565
315000,3443
315250,3475
315500,4095
315750,4095
316000,4062
316250,4095
316500,4077
316750,3923
317000,3780
317250,3636
317500,3503
317750,3399
318000,3285
318250,3190
318500,3097
318750,4095
319000,4095
319250,4073
319500,3901
319750,4095
320000,3938
320250,3755
320500,3595
320750,3442
321000,3294
321250,3177
321500,4095
321750,4095
322000,4031
322250,4071
322500,4069
322750,3848
323000,3658
323250,3487
323500,3339
323750,3197
324000,4095
324250,4095
324500,4093
324750,3946
325000,4052
325250,3835
325500,3624
325750,3443
326000,3292
326250,3159
326500,3209
326750,4095
327000,4095
327250,4009
327500,4095
327750,4019
328000,3818
328250,3655
328500,3499
328750,3367
329000,3253
329250,3161
329500,3068
329750,2982
330000,2903
330250,2841
330500,2781
330750,2717
331000,2661
331250,2607
331500,2544
331750,2491
332000,2440
332250,2389
332500,2343
332750,2295
333000,2260
333250,2213
333500,2186
333750,2152
334000,2101
334250,2065
334500,2021
334750,1980
335000,1938
335250,1893
335500,1845
335750,1801
336000,1751
336250,1706
336500,1659
336750,1613
337000,1568
337250,1519
337500,1469
337750,1421
338000,1374
338250,1327
338500,1285
338750,1235
339000,1184
339250,1139
339500,1092
339750,1044
340000,1001
340250,969
340500,941
340750,911
341000,879
341250,890
341500,846
341750,857
342000,851
342250,875
342500,867
342750,858
343000,854
343250,887
343500,882
343750,877
344000,871
344250,901
344500,887
344750,890
345000,883
345250,905
345500,902
345750,903
346000,902
346250,920
346500,920
346750,917
347000,917
347250,933
347500,931
347750,926
348000,925
348250,937
348500,927
348750,925
349000,926
349250,939
349500,939
349750,935
350000,931
350250,953
350500,940
350750,935
351000,933
351250,939
351500,908
351750,921
352000,911
352250,924
352500,913
352750,902
353000,890
353250,910
353500,891
353750,891
354000,883
354250,901
354500,868
354750,883
355000,876
355250,895
355500,860
355750,877
356000,869
356250,890
356500,869
356750,873
357000,859
357250,887
357500,859
357750,857
358000,845
358250,861
358500,867
358750,853
359000,844
359250,875
359500,869
359750,861
360000,856
360250,891
360500,885
360750,879
361000,877
361250,905
361500,884
361750,887
362000,883
362250,907
362500,909
362750,907
363000,902
363250,921
363500,919
363750,921
364000,918
364250,937
364500,917
364750,923
365000,917
365250,933
365500,909
365750,919
366000,921
366250,936
366500,903
366750,934
367000,937
367250,936
367500,931
367750,923
368000,917
368250,922
