timestamp_us,adc_value
0,957
250,951
500,949
750,941
1000,956
1250,953
1500,955
1750,951
2000,971
2250,966
2500,974
2750,969
3000,973
3250,970
3500,957
3750,953
4000,957
4250,950
4500,938
4750,931
5000,949
5250,921
5500,923
5750,916
6000,928
6250,920
6500,908
6750,905
7000,921
7250,918
7500,903
7750,893
8000,916
8250,909
8500,901
8750,889
9000,915
9250,902
9500,894
9750,879
10000,901
10250,885
10500,855
10750,864
11000,895
11250,885
11500,874
11750,871
12000,896
12250,895
12500,889
12750,891
13000,917
13250,909
13500,909
13750,905
14000,924
14250,921
14500,923
14750,922
15000,939
15250,937
15500,937
15750,935
16000,953
16250,951
16500,950
16750,948
17000,957
17250,954
17500,951
17750,947
18000,959
18250,966
18500,959
18750,953
19000,971
19250,979
19500,969
19750,960
20000,971
20250,966
20500,957
20750,951
21000,965
21250,939
21500,930
21750,922
22000,937
22250,928
22500,921
22750,915
23000,923
23250,917
23500,909
23750,903
24000,920
24250,909
24500,902
24750,892
25000,917
25250,905
25500,901
25750,887
26000,911
26250,901
26500,887
26750,871
27000,888
27250,873
27500,874
27750,867
28000,893
28250,886
28500,883
28750,874
29000,907
29250,903
29500,903
29750,893
30000,921
30250,915
30500,909
30750,909
31000,926
31250,927
31500,933
31750,926
32000,941
32250,939
32500,941
32750,941
33000,955
33250,955
33500,951
33750,949
34000,955
34250,953
34500,951
34750,951
35000,967
35250,965
35500,959
35750,971
36000,980
36250,969
36500,969
36750,959
37000,967
37250,956
37500,951
37750,941
38000,947
38250,941
38500,927
38750,920
39000,933
39250,924
39500,916
39750,905
40000,923
40250,911
40500,910
40750,895
41000,915
41250,907
41500,902
41750,891
42000,915
42250,905
42500,893
42750,884
43000,907
43250,887
43500,873
43750,842
44000,887
44250,885
44500,873
44750,866
45000,901
45250,891
45500,880
45750,879
46000,917
46250,907
46500,905
46750,903
47000,925
47250,917
47500,919
47750,915
48000,941
48250,934
48500,933
48750,930
49000,943
49250,946
49500,947
49750,942
50000,957
50250,955
50500,949
50750,944
51000,955
51250,953
51500,953
51750,955
52000,969
52250,967
52500,978
52750,971
53000,974
53250,969
53500,959
53750,956
54000,959
54250,949
54500,939
54750,927
55000,939
55250,931
55500,921
55750,917
56000,933
56250,920
56500,910
56750,901
57000,923
57250,915
57500,904
57750,891
58000,917
58250,907
58500,895
58750,889
59000,917
59250,903
59500,890
59750,879
60000,903
60250,885
60500,855
60750,867
61000,893
61250,885
61500,875
61750,871
62000,901
62250,893
62500,891
62750,890
63000,919
63250,911
63500,903
63750,904
64000,925
64250,911
64500,922
64750,923
65000,939
65250,937
65500,931
65750,933
66000,950
66250,950
66500,947
66750,947
67000,956
67250,953
67500,948
67750,949
68000,957
68250,957
68500,957
68750,952
69000,975
69250,979
69500,970
69750,959
70000,973
70250,957
70500,955
70750,948
71000,953
71250,943
71500,933
71750,901
72000,937
72250,926
72500,919
72750,919
73000,923
73250,917
73500,909
73750,921
74000,920
74250,909
74500,903
74750,892
75000,915
75250,907
75500,893
75750,888
76000,912
76250,895
76500,879
76750,868
77000,887
77250,871
77500,875
77750,863
78000,893
78250,886
78500,879
78750,875
79000,906
79250,903
79500,895
79750,905
80000,921
80250,916
80500,911
80750,907
81000,925
81250,927
81500,925
81750,923
82000,940
82250,939
82500,939
82750,939
83000,951
83250,949
83500,950
83750,946
84000,958
84250,951
84500,952
84750,950
85000,966
85250,968
85500,957
85750,967
86000,981
86250,969
86500,967
86750,983
87000,965
87250,957
87500,949
87750,936
88000,949
88250,937
88500,931
88750,910
89000,940
89250,932
89500,920
89750,904
90000,925
90250,916
90500,909
90750,909
91000,920
91250,908
91500,903
91750,891
92000,915
92250,907
92500,891
92750,886
93000,909
93250,889
93500,878
93750,844
94000,893
94250,890
94500,873
94750,868
95000,903
95250,893
95500,885
95750,883
96000,914
96250,908
96500,905
96750,904
97000,923
97250,917
97500,916
97750,910
98000,938
98250,935
98500,931
98750,932
99000,947
99250,949
99500,947
99750,946
100000,958
100250,953
100500,951
100750,947
101000,956
101250,953
101500,955
101750,953
102000,968
102250,967
102500,978
102750,969
103000,973
103250,971
103500,964
103750,952
104000,957
104250,955
104500,955
104750,931
105000,940
105250,933
105500,921
105750,917
106000,932
106250,921
106500,911
106750,905
107000,923
107250,915
107500,905
107750,891
108000,916
108250,908
108500,895
108750,887
109000,909
109250,903
109500,891
109750,876
110000,896
110250,885
110500,857
110750,863
111000,894
111250,885
111500,873
111750,873
112000,895
112250,892
112500,892
112750,887
113000,917
113250,909
113500,907
113750,906
114000,921
114250,919
114500,921
114750,922
115000,939
115250,936
115500,935
115750,935
116000,951
116250,948
116500,949
116750,948
117000,955
117250,953
117500,947
117750,947
118000,965
118250,955
118500,959
118750,956
119000,972
119250,975
119500,969
119750,960
120000,973
120250,965
120500,957
120750,950
121000,957
121250,941
121500,933
121750,923
122000,936
122250,926
122500,919
122750,912
123000,923
123250,917
123500,910
123750,904
124000,921
124250,909
124500,903
124750,893
125000,915
125250,903
125500,893
125750,889
126000,911
126250,906
126500,886
126750,871
127000,890
127250,871
127500,877
127750,864
128000,892
128250,885
128500,879
128750,875
129000,906
129250,903
129500,902
129750,885
130000,923
130250,917
130500,910
130750,907
131000,927
131250,926
131500,927
131750,925
132000,942
132250,939
132500,943
132750,941
133000,955
133250,953
133500,951
133750,949
134000,957
134250,949
134500,951
134750,953
135000,966
135250,965
135500,959
135750,971
136000,982
136250,970
136500,969
136750,959
137000,966
137250,958
137500,950
137750,939
138000,949
138250,937
138500,933
138750,919
139000,933
139250,926
139500,919
139750,906
140000,923
140250,915
140500,905
140750,895
141000,917
141250,909
141500,902
141750,891
142000,911
142250,907
142500,891
142750,887
143000,909
143250,889
143500,877
143750,843
144000,886
144250,886
144500,873
144750,867
145000,893
145250,889
145500,885
145750,879
146000,914
146250,909
146500,909
146750,904
147000,913
147250,917
147500,910
147750,909
148000,935
148250,934
148500,931
148750,932
149000,947
149250,947
149500,948
149750,947
150000,957
150250,953
150500,950
150750,946
151000,956
151250,954
151500,955
151750,958
152000,969
152250,965
152500,973
152750,967
153000,974
153250,969
153500,965
153750,955
154000,965
154250,953
154500,941
154750,931
155000,939
155250,923
155500,923
155750,916
156000,931
156250,917
156500,915
156750,902
157000,922
157250,915
157500,905
157750,891
158000,919
158250,905
158500,895
158750,887
159000,916
159250,902
159500,893
159750,883
160000,901
160250,885
160500,855
160750,863
161000,893
161250,886
161500,879
161750,873
162000,903
162250,893
162500,891
162750,892
163000,918
163250,925
163500,908
163750,904
164000,925
164250,919
164500,919
164750,924
165000,938
165250,935
165500,934
165750,934
166000,951
166250,949
166500,949
166750,947
167000,956
167250,952
167500,949
167750,946
168000,957
168250,957
168500,959
168750,973
169000,972
169250,975
169500,971
169750,963
170000,972
170250,968
170500,953
170750,946
171000,951
171250,939
171500,932
171750,923
172000,931
172250,924
172500,921
172750,909
173000,925
173250,911
173500,907
173750,901
174000,921
174250,908
174500,895
174750,887
175000,915
175250,903
175500,893
175750,878
176000,908
176250,902
176500,877
176750,870
177000,887
177250,867
177500,869
177750,859
178000,890
178250,883
178500,877
178750,873
179000,903
179250,903
179500,893
179750,893
180000,917
180250,909
180500,905
180750,903
181000,922
181250,919
181500,923
181750,922
182000,938
182250,936
182500,937
182750,936
183000,953
183250,949
183500,949
183750,943
184000,974
184250,943
184500,943
184750,955
185000,956
185250,956
185500,950
185750,959
186000,971
186250,959
186500,965
186750,957
187000,965
187250,955
187500,948
187750,942
188000,943
188250,936
188500,923
188750,910
189000,926
189250,920
189500,912
189750,895
190000,921
190250,910
190500,906
190750,893
191000,919
191250,908
191500,895
191750,889
192000,909
192250,902
192500,887
192750,883
193000,907
193250,887
193500,873
193750,841
194000,889
194250,885
194500,874
194750,863
195000,893
195250,889
195500,885
195750,876
196000,911
196250,907
196500,902
196750,889
197000,921
197250,914
197500,909
197750,905
198000,933
198250,925
198500,925
198750,925
199000,938
199250,939
199500,938
199750,936
200000,951
200250,947
200500,943
200750,935
201000,951
201250,949
201500,949
201750,951
202000,959
202250,957
202500,968
202750,964
203000,967
203250,965
203500,953
203750,947
204000,957
204250,949
204500,935
204750,1371
205000,1983
205250,2537
205500,3295
205750,4095
206000,4095
206250,4095
206500,3734
206750,3757
207000,4095
207250,3609
207500,3367
207750,3246
208000,3305
208250,3955
208500,3721
208750,3751
209000,4095
209250,3301
209500,3365
209750,4095
210000,4095
210250,4095
210500,3861
210750,3924
211000,4095
211250,4095
211500,4095
211750,4095
212000,4095
212250,4095
212500,4095
212750,4095
213000,4095
213250,4095
213500,4095
213750,4095
214000,4095
214250,4095
214500,4095
214750,4095
215000,4095
215250,4095
215500,4045
215750,3891
216000,3767
216250,4095
216500,4095
216750,3869
217000,3808
217250,4007
217500,4095
217750,3317
218000,3388
218250,3305
218500,3411
218750,4095
219000,4095
219250,4095
219500,4095
219750,4095
220000,4095
220250,3195
220500,3299
220750,3216
221000,3134
221250,3045
221500,2969
221750,2900
222000,2830
222250,2761
222500,2701
222750,2635
223000,2570
223250,2506
223500,2446
223750,2389
224000,2331
224250,2269
224500,2213
224750,2157
225000,2103
225250,2039
225500,1993
225750,1932
226000,1882
226250,1830
226500,1768
226750,1701
227000,1637
227250,1551
227500,1507
227750,1447
228000,1391
228250,1337
228500,1289
228750,1247
229000,1197
229250,1148
229500,1124
229750,1093
230000,1062
230250,1032
230500,1003
230750,980
231000,972
