chunk_start_ms,chunk_end_ms,count,mean,median,min,max
0,500,2000,932.848500,523.000000,489,4095
500,1000,2000,1372.318500,531.000000,487,4095
1000,1500,2000,1396.670000,532.000000,488,4095
1500,2000,2000,1412.842000,533.000000,479,4095
2000,2500,2000,1402.508000,532.000000,453,4095
2500,3000,2000,1411.993500,533.000000,475,4095
3000,3500,2000,1398.694500,533.000000,448,4095
3500,4000,2000,1401.604500,533.000000,479,4095
4000,4500,2000,1398.004500,532.000000,451,4095
4500,5000,2000,1405.361000,533.000000,478,4095
5000,5500,2000,1330.279000,526.000000,453,4095
5500,6000,2000,1712.321000,972.000000,467,4095
6000,6500,2000,1389.671500,532.000000,447,4095
6500,7000,2000,1378.650000,533.000000,470,4095
7000,7500,2000,1283.245000,525.000000,451,4095
7500,8000,2000,1336.212000,533.000000,466,4095
8000,8500,2000,1355.845500,532.000000,448,4095
8500,9000,2000,1306.269500,532.500000,468,4095
9000,9500,2000,1330.632500,531.000000,447,4095
9500,10000,2000,1302.421000,530.000000,488,4095
10000,10500,2000,1338.897500,530.000000,444,4095
10500,11000,2000,1653.193500,537.000000,489,4095
11000,11500,2000,1464.387500,533.000000,452,4095
11500,12000,2000,1434.929000,534.000000,487,4095
12000,12500,2000,1457.261500,533.000000,448,4095
12500,13000,2000,1431.193500,531.000000,451,4095
13000,13500,2000,2614.436500,2717.000000,483,4095
13500,14000,2000,2795.163000,2793.000000,2250,3983
14000,14500,2000,2844.191000,2843.000000,2356,3807
14500,15000,2000,2854.156000,2847.000000,2389,3853
15000,15500,2000,2831.720500,2836.000000,2381,3807
15500,16000,2000,2272.294000,2616.500000,0,4095
16000,16500,2000,1412.119000,1489.500000,0,2521
16500,17000,2000,1824.253000,1816.000000,0,4095
17000,17500,2000,1193.812500,523.000000,446,4095
17500,18000,2000,1613.202500,536.500000,479,4095
18000,18500,2000,1443.309000,531.000000,456,4095
18500,19000,2000,1375.939000,532.000000,474,4095
19000,19500,2000,1354.126500,525.000000,447,4095
19500,20000,2000,1357.602000,531.000000,477,4095
20000,20500,2000,1343.364000,527.000000,453,4095
20500,21000,2000,1343.470000,527.000000,477,4095
21000,21500,2000,1388.255500,531.500000,448,4095
21500,22000,2000,1631.210500,535.000000,445,4095
22000,22500,2000,1414.257000,533.000000,469,4095
22500,23000,2000,1418.282500,533.000000,431,4095
23000,23500,2000,1423.994000,533.000000,461,4095
23500,24000,2000,1423.010000,533.000000,414,4095
24000,24500,2000,1400.540500,533.000000,467,4095
24500,25000,2000,1404.779500,533.000000,447,4095
25000,25500,2000,1404.001500,532.000000,487,4095
25500,26000,2000,1395.558000,527.000000,439,4095
26000,26500,2000,1406.247500,531.000000,488,4095
26500,27000,2000,1602.785500,535.000000,457,4095
27000,27500,2000,1405.985000,532.000000,487,4095
27500,28000,2000,1394.197000,531.000000,488,4095
28000,28500,2000,1360.675000,530.500000,487,4095
28500,29000,2000,1319.834500,527.000000,487,4095
29000,29500,2000,1329.773500,527.000000,488,4095
29500,30000,2000,1341.222000,528.000000,487,4095
30000,30500,2000,1331.466000,531.000000,489,4095
30500,31000,2000,1350.566500,532.000000,489,4095
31000,31500,2000,1351.357000,533.000000,488,4095
31500,32000,2000,1334.661500,528.000000,489,4095
32000,32500,2000,1606.353000,535.000000,487,4095
32500,33000,2000,1386.655500,533.000000,477,4095
33000,33500,2000,1375.699000,531.000000,479,4095
33500,34000,2000,1382.097500,532.000000,475,4095
34000,34500,2000,1383.749000,532.000000,475,4095
34500,35000,2000,1389.613500,533.000000,468,4095
35000,35500,2000,1396.071500,533.000000,476,4095
35500,36000,2000,1373.966500,525.000000,443,4095
36000,36500,2000,1386.089500,533.000000,477,4095
36500,37000,2000,1378.608000,527.500000,427,4095
