timestamp_us,adc_value
timestamp_us,adc_value
0,4095
250,4053
500,3866
750,3687
1000,3532
1250,3398
1500,3277
1750,3162
2000,3059
2250,2969
2500,2887
2750,2798
3000,2729
3250,2655
3500,2589
3750,2540
4000,2447
4250,2389
4500,2334
4750,2271
5000,2215
5250,2159
5500,2103
5750,2041
6000,1993
6250,1941
6500,1884
6750,1832
7000,1768
7250,1736
7500,1686
7750,1635
8000,1593
8250,1545
8500,1500
8750,1454
9000,1415
9250,1370
9500,1315
9750,1287
10000,1241
10250,1206
10500,1164
10750,1125
11000,1084
11250,1051
11500,1015
11750,984
12000,952
12250,931
12500,921
12750,904
13000,889
13250,877
13500,893
13750,884
14000,877
14250,873
14500,890
14750,885
15000,875
15250,871
15500,887
15750,879
16000,873
16250,869
16500,888
16750,878
17000,872
17250,867
17500,888
17750,877
18000,872
18250,864
18500,887
18750,878
19000,872
19250,867
19500,889
19750,879
20000,872
20250,867
20500,888
20750,879
21000,872
21250,868
21500,887
21750,876
22000,873
22250,867
22500,887
22750,877
23000,869
23250,867
23500,887
23750,877
24000,872
24250,863
24500,885
24750,877
25000,872
25250,867
25500,882
25750,878
26000,868
26250,863
26500,887
26750,875
27000,870
27250,863
27500,887
27750,875
28000,869
28250,862
28500,904
28750,875
29000,871
29250,864
29500,885
29750,877
30000,873
30250,864
30500,889
30750,877
31000,871
31250,867
31500,887
31750,877
32000,871
32250,863
32500,885
32750,877
33000,869
33250,863
33500,884
33750,876
34000,871
34250,863
34500,887
34750,876
35000,875
35250,868
35500,887
35750,878
36000,870
36250,863
36500,885
36750,878
37000,871
37250,861
37500,886
37750,877
38000,871
38250,864
38500,885
38750,876
39000,869
39250,861
39500,885
39750,877
40000,869
40250,864
40500,885
40750,877
41000,870
41250,867
41500,885
41750,877
42000,869
42250,862
42500,885
42750,876
43000,864
43250,859
43500,884
43750,857
44000,871
44250,861
44500,883
44750,875
45000,870
45250,861
45500,885
45750,874
46000,867
46250,861
46500,884
46750,876
47000,875
47250,864
47500,887
47750,876
48000,870
48250,862
48500,885
48750,873
49000,885
49250,861
49500,886
49750,876
50000,867
50250,862
50500,884
50750,877
51000,871
51250,862
51500,884
51750,874
52000,871
52250,861
52500,885
52750,875
53000,872
53250,863
53500,883
53750,877
54000,870
54250,861
54500,886
54750,875
55000,871
55250,862
55500,884
55750,875
56000,869
56250,860
56500,885
56750,871
57000,864
57250,855
57500,883
57750,880
58000,869
58250,861
58500,885
58750,876
59000,871
59250,866
59500,883
59750,875
60000,867
60250,862
60500,886
60750,875
61000,871
61250,861
61500,885
61750,874
62000,868
62250,861
62500,880
62750,874
63000,869
63250,861
63500,885
63750,875
64000,869
64250,861
64500,883
64750,868
65000,860
65250,853
65500,875
65750,869
66000,859
66250,851
66500,884
66750,872
67000,862
67250,857
67500,883
67750,875
68000,861
68250,859
68500,878
68750,873
69000,863
69250,859
69500,877
69750,871
70000,867
70250,860
70500,883
70750,873
71000,869
71250,861
71500,883
71750,875
72000,870
72250,859
72500,883
72750,859
73000,870
73250,863
73500,883
73750,874
74000,869
74250,860
74500,885
74750,876
75000,867
75250,859
75500,885
75750,873
76000,867
76250,862
76500,883
76750,873
77000,869
77250,862
77500,885
77750,875
78000,869
78250,861
78500,885
78750,875
79000,867
79250,862
79500,884
79750,876
80000,869
80250,863
80500,883
80750,875
81000,871
81250,863
81500,884
81750,876
82000,870
82250,861
82500,884
82750,876
83000,871
83250,861
83500,887
83750,876
84000,870
84250,860
84500,885
84750,875
85000,869
85250,863
85500,884
85750,875
86000,869
86250,862
86500,883
86750,875
87000,871
87250,863
87500,885
87750,876
88000,867
88250,861
88500,884
88750,876
89000,867
89250,855
89500,879
89750,873
90000,863
90250,861
90500,883
90750,875
91000,869
91250,861
91500,876
91750,875
92000,869
92250,861
92500,885
92750,876
93000,868
93250,863
93500,884
93750,875
